step,train_loss,refusal_rate,alpaca_val_loss,alpha
100,5.0374861883209086,0.83,1.363923277022977,0.05
200,5.024458070872352,0.9,1.3537437036343147,0.05
300,4.829340156391263,0.88,1.3537436529356088,0.05
400,4.821990333935246,0.84,1.3538645758972012,0.1
500,4.976861556209624,0.88,1.350086897869701,0.1
600,4.96522254427895,0.84,1.3524272079424149,0.15000000000000002
700,5.2164244381384925,0.9,1.3510379725407018,0.15000000000000002
800,4.742785511072725,0.9,1.3452177941403713,0.15000000000000002
900,4.812474785633385,0.82,1.345066668534547,0.2
1000,4.790805433015339,0.85,1.3441243894719255,0.2
1100,4.8805354741029445,0.79,1.3486417241499107,0.25
1200,4.767276240340434,0.89,1.3418117552273465,0.25
1300,4.7475440116086975,0.88,1.3411045467955947,0.25
1400,4.676268540506717,0.84,1.3422118935186909,0.3
1500,4.64153801396722,0.86,1.3463769192048411,0.3
1600,4.418371903973166,0.83,1.345018828258192,0.35
1700,4.361456578355282,0.89,1.3460193772777698,0.35
1800,4.379853656819323,0.85,1.345642800170938,0.35
1900,4.557251967648044,0.85,1.3448000976439753,0.35
2000,4.494619338917546,0.83,1.34494615326681,0.39999999999999997
